flow_duration,protocol,TotPackets,TotBytes,tot_fwd_pkts,totlen_fwd_pkts,fwd_iat_mean,fwd_pkt_len_max,fwd_pkt_len_mean,tot_bwd_pkts,totlen_bwd_pkts,bwd_iat_mean,bwd_pkt_len_max,bwd_pkt_len_mean
163.024,6,23,9001,11,514,100,1236,2014,12,927,14803,1460,6987
292.31,6,36,7138,17,262,18266,517,1680,19,744,16236,1418,5458
0.011,17,2,399,1,39,0,39,67,1,304,0,304,332
0.486,6,26,6084,12,164,44,453,1442,14,558,34,1448,4642
0.011,17,2,243,1,37,0,37,65,1,150,0,150,178
31.996,6,392,388271,131,126,246,300,7190,261,1429,122,2836,381081
3.132,6,14,2355,7,188,522,245,660,7,703,480,1152,1695
281.053,6,30,7432,13,158,23421,267,1317,17,543,17562,1400,6115
1672.036,1,7,392,7,28,278672,28,392,0,0,0,0,0
1759.525,6,100,7866,66,45,27069,205,4902,34,35,53309,98,2964
10.335,6,81,24978,41,567,258,1152,19237,40,459,258,1179,5741
1.686,6,29,10365,17,367,105,833,1785,12,1012,145,1420,8580
11.0,6,20,4402,11,275,1100,275,998,9,758,777,1420,3404
5.294,6,24,9156,13,422,441,1205,2374,11,1240,509,2491,6782
0.422,6,32,17042,16,129,28,129,969,16,1269,28,1448,16073
75.982,17,4,240,2,32,75981,32,120,2,32,75980,32,120
0.05,17,2,172,1,50,0,50,78,1,66,0,66,94
1770.953,6,104,9883,68,70,26432,234,5948,36,60,50595,83,3935
667.35,6,36,2647,27,31,25667,31,1900,9,31,60185,31,747
798.945,1,34,1904,34,28,24210,28,1904,0,0,0,0,0
10.965,6,6,328,4,0,3655,0,216,2,0,10821,0,112
257.893,6,66,10048,31,102,7079,267,2578,35,263,7584,1420,7470
18.943,6,1168,1043094,763,1294,24,1368,1017370,405,776,46,2736,25724
126.864,6,22,8758,11,316,66,640,1421,11,983,12673,1360,7337
61.351,6,37,15935,22,800,2921,1440,9157,15,665,4363,1440,6778
280.211,6,30,7432,13,158,23350,267,1317,17,543,17509,1400,6115
560.604,17,6,444,3,30,280295,30,174,3,62,280294,62,270
10.5,6,1977,1854462,1275,1377,8,1408,1813294,702,931,14,2816,41168
1786.931,17,73,3060,72,14,25168,14,3024,1,8,0,8,36
1716.603,1,8,448,8,28,245229,28,448,0,0,0,0,0
3.829,17,24,16665,10,434,425,1350,4628,14,831,292,1350,12037
257.847,6,32,8952,14,158,19834,267,1357,18,624,15163,1400,7595
277.011,6,30,7432,13,158,23084,267,1317,17,543,17307,1400,6115
3.523,6,34,6169,17,206,220,314,2744,17,456,204,1152,3425
1743.953,6,95,7203,63,38,28128,205,4476,32,33,56246,98,2727
9.392,6,15,1339,8,182,1341,182,788,7,77,1530,134,551
1772.51,6,180,15480,120,69,14895,69,8940,60,69,30039,69,6540
1783.22,17,83,3480,82,14,22015,14,3444,1,8,0,8,36
1775.943,17,73,3060,72,14,25013,14,3024,1,8,0,8,36
1.305,6,48,18273,28,882,48,1360,12652,20,437,59,2715,5621
4.271,6,38,7229,19,218,237,314,3383,19,513,222,1179,3846
0.17,17,2,152,1,48,0,48,76,1,48,0,48,76
6.101,6,1601,1489648,1021,1382,5,1408,1454824,580,931,10,2801,34824
1790.161,17,179,11456,179,36,10057,36,11456,0,0,0,0,0
1.05,17,4,804,2,36,1046,36,128,2,310,1045,318,676
5.734,6,2,120,2,0,0,0,120,0,0,0,0,0
1795.263,17,80,3354,79,14,23016,14,3318,1,8,0,8,36
24.06,6,37,8288,16,188,1604,722,1964,21,498,1182,1380,6324
0.198,17,2,152,1,48,0,48,76,1,48,0,48,76
2.314,6,6,340,3,0,1157,0,160,3,0,520,0,180
1786.565,6,102,8296,68,65,26665,65,4930,34,59,54135,59,3366
56.804,17,2867,571640,2842,172,19,172,568400,25,101,2085,172,3240
0.967,17,4,240,2,32,966,32,120,2,32,966,32,120
129.715,6,23,8008,12,377,64,796,1667,11,841,12957,2720,6341
180.52,2,2,64,2,8,180520,8,64,0,0,0,0,0
0.713,17,11,9886,5,821,178,1350,4246,6,912,73,1350,5640
1785.921,6,102,8296,68,65,26655,65,4930,34,59,54116,59,3366
91.279,6,11,806,11,26,9127,26,806,0,0,0,0,0
81.027,17,4,240,2,32,81025,32,120,2,32,81026,32,120
1.243,6,39,9888,21,440,62,1360,4392,18,476,63,2715,5496
267.882,17,4,352,2,60,267881,60,176,2,60,267880,60,176
91.52,6,2,104,2,0,0,0,104,0,0,0,0,0
16.423,6,11,5489,4,106,5455,106,274,7,1231,2728,2077,5215
1786.014,6,107,8690,70,66,25884,66,5110,37,60,49608,60,3580
10.774,6,20,4442,11,275,1077,275,998,9,768,752,1440,3444
12.396,6,9,2235,8,258,1770,365,2131,1,64,0,64,104
1740.479,17,29,6699,29,203,62159,203,6699,0,0,0,0,0
240.48,6,60,24855,27,548,9248,1418,6351,33,839,7514,1418,18504
104.876,17,4,352,2,60,104874,60,176,2,60,104874,60,176
10.431,6,1645,1443057,1002,1388,10,1420,1413116,643,420,16,1420,29941
11.271,6,108,37156,56,616,204,1152,30594,52,407,215,1152,6562
0.567,6,4,220,3,0,283,0,160,1,0,0,0,60
41.299,1,44,4576,0,0,0,0,0,44,76,960,76,4576
0.087,17,2,188,1,52,0,52,80,1,80,0,80,108
121.202,6,22,9126,12,304,79,597,1425,10,1214,13445,2720,7701
1795.533,1,200,21200,200,78,9022,78,21200,0,0,0,0,0
0.779,6,10,1687,7,100,129,100,384,3,1179,263,1179,1303
26.508,6,3884,3426958,2241,1434,11,1448,3320938,1643,776,16,1448,106020
0.141,17,2,657,2,300,141,301,657,0,0,0,0,0
141.493,17,4,352,2,60,141492,60,176,2,60,141492,60,176
60.193,6,835,789714,313,528,192,1254,17881,522,1434,115,2896,771833
1680.434,1,15,840,15,28,120031,28,840,0,0,0,0,0
1591.137,1,8,448,8,28,227305,28,448,0,0,0,0,0
45.359,6,22,4568,9,341,5669,722,1489,13,299,3758,1448,3079
58.92,6,10,648,10,31,6546,31,648,0,0,0,0,0
4.985,17,2,628,2,286,4985,286,628,0,0,0,0,0
240.409,6,59,24762,27,548,9246,1418,6361,32,880,7754,1418,18401
1772.271,6,181,15589,120,69,14893,69,8940,61,69,29530,69,6649
1740.466,17,28,6580,28,207,64461,207,6580,0,0,0,0,0
1790.872,6,499,83346,242,216,7430,1360,52699,257,185,6995,2720,30647
60.166,2,2,64,2,8,60166,8,64,0,0,0,0,0
0.433,6,21,7203,12,318,38,600,1906,9,964,52,1471,5297
9.034,6,610,528781,280,1059,32,1460,30736,330,1558,26,7300,498045
1791.864,6,359,22709,209,69,8614,69,12569,150,69,12023,69,10140
424.737,6,540,148436,321,475,1327,1440,69493,219,329,1948,1328,78943
3.012,17,4,338,2,34,3003,34,124,2,79,3000,79,214
1796.07,17,377,102095,377,242,4776,422,102095,0,0,0,0,0
1786.902,6,3769,3672037,1243,127,1438,339,70362,2526,1415,707,2836,3601675
1741.409,17,28,6580,28,207,64496,207,6580,0,0,0,0,0
1778.774,17,140,11200,70,48,25779,48,5320,70,56,25779,56,5880
384.952,6,18,1242,14,180,29611,180,916,4,110,20065,110,326
10.808,6,20,4402,11,275,1080,275,998,9,758,748,1420,3404
21.93,6,51,23192,27,1255,355,1460,17430,24,399,945,1460,5762
125.85,2,2,64,2,8,125850,8,64,0,0,0,0,0
31.632,17,4,352,2,60,31631,60,176,2,60,31631,60,176
1787.902,6,377,26188,216,98,8315,469,15332,161,69,11174,69,10856
1323.48,2,14,448,14,8,101806,8,448,0,0,0,0,0
8.039,6,1263,1098318,779,1361,10,1380,1072744,484,613,16,1924,25574
1797.547,6,374,25130,216,87,8360,469,14394,158,69,11448,69,10736
281.089,6,29,7392,13,158,23424,267,1317,16,603,18730,2036,6075
4.11,17,2,122,2,33,4110,33,122,0,0,0,0,0
4.569,6,34,6169,18,206,268,314,2784,16,548,288,1179,3385
280.344,6,30,7432,13,158,23362,267,1317,17,543,17513,1300,6115
73.403,6,25,7833,12,261,6673,467,1405,13,522,5356,1368,6428
0.477,6,14,1733,7,288,75,288,588,7,426,45,434,1145
1.624,6,47,19182,27,892,62,1360,13606,20,476,74,2720,5576
9.362,6,41,9610,22,450,445,766,2737,19,406,462,1360,6873
305.423,17,11,836,11,48,30542,48,836,0,0,0,0,0
369.589,6,25,1651,17,177,23099,177,1117,8,110,9206,110,534
1797.923,2,29,928,29,8,64211,8,928,0,0,0,0,0
1751.005,6,186,11385,93,47,19032,208,6766,93,31,19029,31,4619
1773.953,6,192,16374,125,69,14306,69,9278,67,69,26875,69,7096
0.163,6,3,132,2,0,13,0,92,1,0,0,0,40
9.962,17,4,4260,4,1037,3320,1055,4260,0,0,0,0,0
12.576,6,1854,1730327,1221,1368,10,1380,1696533,633,515,19,1923,33794
19.604,17,34,5734,16,168,1304,1350,3141,18,116,1151,1350,2593
1765.468,2,13,416,13,8,147122,8,416,0,0,0,0,0
3.875,17,5,556,4,64,1285,64,368,1,160,0,160,188
368.623,6,25,1651,17,177,23038,177,1117,8,110,9204,110,534
1760.937,17,174,37408,174,186,10178,422,37408,0,0,0,0,0
1773.067,6,181,15589,120,69,14899,69,8940,61,69,29544,69,6649
20.785,17,31,19269,13,408,1729,1350,5677,18,727,1220,1350,13592
0.734,6,23,6199,13,268,60,679,1865,10,982,79,1691,4334
1.719,6,25,8719,15,277,122,565,1437,10,982,171,1420,7282
62.13,6,20,9097,11,500,88,1194,1972,9,1350,7743,2720,7125
1795.124,17,80,3354,79,14,23014,14,3318,1,8,0,8,36
1795.167,17,80,3354,79,14,23014,14,3318,1,8,0,8,36
1763.772,1,72,6048,72,56,24841,56,6048,0,0,0,0,0
280.2,6,28,7352,12,158,25472,267,1277,16,603,18679,1400,6075
